artist_names,track_name,peak_rank,weeks_on_chart
Felipe Amorim,No Ouvidinho,154,1
"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,167,1
"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",19,1
"Jimin, HA SUNG WOON",With you,32,1
Lauren Spencer Smith,Flowers,72,2
cakal,İmdat,97,1
"t-low, Miksu / Macloud",We Made It,99,1
"Ed Sheeran, Lil Baby",2step (feat. Lil Baby),131,1
"Pusha T, Lil Uzi Vert, Don Toliver",Scrape It Off (feat. Lil Uzi Vert & Don Toliver),184,1
Ed Sheeran,Photograph,41,154
"Southside, Future, Travis Scott",Hold That Heat (feat. Travis Scott),196,1
"Kendrick Lamar, Sampha",Father Time (feat. Sampha),14,2
Kendrick Lamar,Count Me Out,24,2
"Kendrick Lamar, Baby Keem, Sam Dew",Savior,29,2
Morgan Wallen,You Proof,91,2
"Alonzo, Ninho, Naps",TOUT VA BIEN (feat. Ninho & Naps),183,1
"Justin Bieber, Don Toliver",Honest (feat. Don Toliver),29,4
"Kendrick Lamar, Taylour Paige",We Cry Together,22,2
Kendrick Lamar,Worldwide Steppers,20,1
"Kendrick Lamar, Summer Walker, Ghostface Killah",Purple Hearts,27,1
Kendrick Lamar,Rich - Interlude,41,1
"Kendrick Lamar, Tanna Leone",Mr. Morale,53,1
Kendrick Lamar,Crown,54,1
Kendrick Lamar,Auntie Diaries,61,1
Kendrick Lamar,Savior - Interlude,73,1
Kendrick Lamar,Mirror,76,1
"Kendrick Lamar, Beth Gibbons",Mother I Sober (feat. Beth Gibbons of Portishead),79,1
KALUSH,Stefania (Kalush Orchestra),109,1
Kendrick Lamar,The Heart Part 5,44,2
"Jack Harlow, Drake",Churchill Downs (feat. Drake),57,2
My Chemical Romance,The Foundations of Decay,140,1
Taylor Swift,This Love (Taylor’s Version),50,2
Chanel,SloMo,179,1
Sam Ryder,SPACE MAN,186,1
"Kendrick Lamar, Jay Rock",Money Trees,143,8
"Mahmood, BLANCO",Brividi,9,2
Juice WRLD,Cigarettes,27,1
Yung Lean,Ginseng Strip 2002,44,2
"Nicki Minaj, Lil Baby",Do We Have A Problem?,48,1
Red Hot Chili Peppers,Black Summer,79,1
Irama,Ovunque Sarai,112,1
Vundabar,Alien Blues,118,4
"King Von, 21 Savage",Don't Play That,144,1
The Chainsmokers,High,70,2
La rappresentante di lista,Ciao Ciao,151,1
ENHYPEN,Polaroid Love,158,2
Labrinth,Still Don't Know My Name,53,16
Rkomi,INSUPERABILE,180,1
sangiovanni,farfalle,181,1
Labrinth,When I R.I.P.,192,1
j-hope,Arson,37,1
j-hope,MORE,22,3
"DJ Robin, Schürze",Layla,61,3
"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",86,1
Drake,Sticky,17,5
Lizzo,2 Be Loved (Am I Ready),167,1
"MC Tairon, Mc Vitin Da Igrejinha, Dj Win",Baile no Morro,154,3
"Zé Felipe, MC Mari",Bandido,125,4
